Unnamed: 0,City,Country,Population (2024),Population (2023),Growth Rate,slug
0,Tokyo,Japan,37115035,37194105,-0.0021,tokyo
1,Delhi,India,33807403,32941309,0.0263,delhi
2,Shanghai,China,29867918,29210808,0.0225,shanghai
3,Dhaka,Bangladesh,23935652,23209616,0.0313,dhaka
4,Sao Paulo,Brazil,22806704,22619736,0.0083,sao-paulo
5,Cairo,Egypt,22623874,22183201,0.0199,cairo
6,Mexico City,Mexico,22505315,22281442,0.01,mexico-city
7,Beijing,China,22189082,21766214,0.0194,beijing
8,Mumbai,India,21673149,21296517,0.0177,mumbai
9,Osaka,Japan,18967459,19013434,-0.0024,osaka
10,Chongqing,China,17773923,17340704,0.025,chongqing
11,Karachi,Pakistan,17648555,17236230,0.0239,karachi
12,Kinshasa,DR Congo,17032322,16315534,0.0439,kinshasa
13,Lagos,Nigeria,16536018,15945912,0.037,lagos
14,Istanbul,Turkey,16047350,15847768,0.0126,istanbul
15,Buenos Aires,Argentina,15618288,15490415,0.0083,buenos-aires
16,Kolkata,India,15570786,15332793,0.0155,kolkata
17,Manila,Philippines,14941953,14667089,0.0187,manila
18,Guangzhou,China,14590096,14284353,0.0214,guangzhou
19,Tianjin,China,14470873,14238643,0.0163,tianjin
20,Lahore,Pakistan,14407074,13979390,0.0306,lahore
21,Bangalore,India,14008262,13607800,0.0294,bangalore
22,Rio De Janeiro,Brazil,13824347,13727720,0.007,rio-de-janeiro
23,Shenzhen,China,13311855,13072633,0.0183,shenzhen
24,Moscow,Russia,12712305,12680389,0.0025,moscow
25,Chennai,India,12053697,11776147,0.0236,chennai
26,Bogota,Colombia,11658211,11507960,0.0131,bogota
27,Jakarta,Indonesia,11436004,11248839,0.0166,jakarta
28,Lima,Peru,11361938,11204382,0.0141,lima
29,Paris,France,11276701,11208440,0.0061,paris
30,Bangkok,Thailand,11233869,11069982,0.0148,bangkok
31,Hyderabad,India,11068877,10801163,0.0248,hyderabad
32,Seoul,South Korea,10004840,9988049,0.0017,seoul
33,Nanjing,China,9947548,9698464,0.0257,nanjing
34,Chengdu,China,9828110,9653772,0.0181,chengdu
35,London,United Kingdom,9748033,9648110,0.0104,london
36,Luanda,Angola,9651032,9292336,0.0386,luanda
37,Tehran,Iran,9616007,9499781,0.0122,tehran
38,Ho Chi Minh City,Vietnam,9567656,9320866,0.0265,ho-chi-minh-city
39,Nagoya,Japan,9556879,9569328,-0.0013,nagoya
40,Xi An Shaanxi,China,9013837,8785174,0.026,xi-an-shaanxi
41,Ahmedabad,India,8854444,8650605,0.0236,ahmedabad
42,Wuhan,China,8850850,8718250,0.0152,wuhan
43,Kuala Lumpur,Malaysia,8815630,8621724,0.0225,kuala-lumpur
44,Hangzhou,China,8419842,8237206,0.0222,hangzhou
45,Suzhou,China,8350625,8074031,0.0343,suzhou
46,Surat,India,8330528,8064949,0.0329,surat
47,Dar Es Salaam,Tanzania,8161231,7775865,0.0496,dar-es-salaam
48,New York,United States,7931147,8133522,-0.0249,new-york
49,Baghdad,Iraq,7921134,7711305,0.0272,baghdad
50,Shenyang,China,7830377,7680967,0.0195,shenyang
51,Riyadh,Saudi Arabia,7820551,7682430,0.018,riyadh
52,Hong Kong,Hong Kong,7725859,7684801,0.0053,hong-kong
53,Foshan,China,7704935,7597386,0.0142,foshan
54,Dongguan,China,7675146,7587049,0.0116,dongguan
55,Pune,India,7345848,7166374,0.025,pune
56,Santiago,Chile,6950952,6903392,0.0069,santiago
57,Haerbin,China,6938008,6803811,0.0197,haerbin
58,Madrid,Spain,6783241,6751374,0.0047,madrid
59,Khartoum,Sudan,6542070,6344348,0.0312,khartoum
60,Toronto,Canada,6431430,6371958,0.0093,toronto
61,Johannesburg,South Africa,6324351,6198016,0.0204,johannesburg
62,Belo Horizonte,Brazil,6300409,6247889,0.0084,belo-horizonte
63,Dalian,China,6217487,6077995,0.023,dalian
64,Singapore,Singapore,6119203,6080859,0.0063,singapore
65,Qingdao,China,6104597,5986525,0.0197,qingdao
66,Zhengzhou,China,6014887,5859272,0.0266,zhengzhou
67,Ji Nan Shandong,China,5940698,5806031,0.0232,ji-nan-shandong
68,Abidjan,Ivory Coast,5866704,5686350,0.0317,abidjan
69,Barcelona,Spain,5711917,5687356,0.0043,barcelona
70,Yangon,Myanmar,5709678,5610241,0.0177,yangon
71,Addis Ababa,Ethiopia,5703628,5460591,0.0445,addis-ababa
72,Alexandria,Egypt,5696131,5588477,0.0193,alexandria
73,Saint Petersburg,Russia,5581707,5561294,0.0037,saint-petersburg
74,Nairobi,Kenya,5541172,5325160,0.0406,nairobi
75,Chittagong,Bangladesh,5513609,5379660,0.0249,chittagong
76,Guadalajara,Mexico,5499678,5419880,0.0147,guadalajara
77,Fukuoka,Japan,5478076,5490271,-0.0022,fukuoka
78,Ankara,Turkey,5477087,5397098,0.0148,ankara
79,Hanoi,Vietnam,5431801,5253385,0.034,hanoi
80,Melbourne,Australia,5315600,5235407,0.0153,melbourne
81,Monterrey,Mexico,5195355,5116647,0.0154,monterrey
82,Sydney,Australia,5184896,5120894,0.0125,sydney
83,Changsha,China,5027975,4921487,0.0216,changsha
84,Urumqi,China,5005964,4865038,0.029,urumqi
85,Cape Town,South Africa,4977833,4890280,0.0179,cape-town
86,Jiddah,Saudi Arabia,4943210,4862941,0.0165,jiddah
87,Brasilia,Brazil,4935274,4873048,0.0128,brasilia
88,Kunming,China,4861079,4761284,0.021,kunming
89,Changchun,China,4802447,4710382,0.0195,changchun
90,Kabul,Afghanistan,4728384,4588666,0.0304,kabul
91,Hefei,China,4727290,4615758,0.0242,hefei
92,Yaounde,Cameroon,4681768,4509287,0.0383,yaounde
