codePostal,libelleAcheminement,latitude,longitude,communesCount
1400,L ABERGEMENT CLEMENCIAT,46.138119840614465,4.98981202522513,10
1640,L ABERGEMENT DE VAREY,46.03117737899012,5.421394176472098,4
1500,AMBERIEU EN BUGEY,45.962515606505846,5.337812425348144,8
1330,AMBERIEUX EN DOMBES,45.9966602121471,5.013244313984105,8
1300,AMBLEON,45.733812314646265,5.663821326549363,26
1350,ANGLEFORT,45.83002993791019,5.759489970130295,9
1100,APREMONT,46.24360796154212,5.642582928903771,9
1110,ARANC,45.98006504756259,5.569761011724543,10
1230,ARANDAS,45.93546295753888,5.474329115924577,11
1190,ARBIGNY,46.42533212140982,4.957469506666668,12
1510,ARMIX,45.843582705440454,5.627590452644215,10
1480,ARS SUR FORMANS,46.01082392095298,4.794237537916574,9
1570,ASNIERES SUR SAONE,46.361184372182024,4.883656193720798,4
1340,ATTIGNAT,46.3336730159629,5.118908721434766,11
1380,BAGE DOMMARTIN,46.313169447994596,4.965452023507084,7
1360,BALAN,45.849910707166586,5.136271674201239,8
1990,BANEINS,46.08834931820096,4.899606435493954,4
1270,BEAUPONT,46.382938014428426,5.309251491563597,7
1200,VALSERHONE,46.116955249020805,5.803166889311591,14
1130,BELLEYDOUX,46.18399230340325,5.708604379883265,10
1260,VALROMEY SUR SERAN,45.95393997885691,5.687164914755032,19
1470,BENONCES,45.80371055920549,5.474436830853757,5
1370,BENY,46.28907794270567,5.335553994766386,7
1290,BEY,46.244764808883154,4.883131391090779,10
1700,BEYNOST,45.837590064433954,4.9547203589910085,6
1150,BLYES,45.87840142308844,5.337016910471883,11
1120,LA BOISSE,45.866560451899964,5.041727878180096,9
1450,BOLOZON,46.1160609287479,5.45961043627323,9
1000,BOURG EN BRESSE,46.20701580441698,5.225150472578387,3
1800,BOURG ST CHRISTOPHE,45.90434199432208,5.172148828819535,15
1460,BRION,46.17352040129218,5.558854575074433,7
1310,BUELLAS,46.23251617499347,5.123047278826188,9
1430,CEIGNES,46.099276409630036,5.541051694733282,10
1240,CERTINES,46.0918413079428,5.130545892709949,8
1170,CESSY,46.32147162326492,6.044070396693414,8
1250,CEYZERIAT,46.197443514253116,5.379011100042751,22
1320,CHALAMONT,46.00617831837747,5.200788560157724,6
1630,CHALLEX,46.22082415671552,5.971547355727951,5
1410,CHAMPFROMIER,46.29630831633749,5.9280925452793545,5
1420,CHANAY,45.995048115341135,5.7900731705919934,5
1660,CHAVEYRIAT,46.219768935557134,5.061713137367401,3
1390,CIVRIEUX,45.932385526738315,4.928418487536876,8
1550,COLLONGES,46.15151688434656,5.916643260483052,3
1560,CORMOZ,46.4438204807633,5.112404207627022,12
1750,CROTTET,46.29894687772731,4.86428118470673,3
1220,DIVONNE LES BAINS,46.340142053071254,6.113085490976972,3
1590,DORTAN,46.332095774135865,5.6560370793999475,3
1160,DRUILLAT,46.068529054428076,5.3113854518603985,7
1210,FERNEY VOLTAIRE,46.27631095877789,6.100768272946163,3
1090,FRANCHELEINS,46.08644548581171,4.794799729783859,8
1140,GARNERANS,46.16041690195866,4.838166617539516,8
1680,INNIMOND,45.78009669942134,5.5459079888536165,4
1580,IZERNORE,46.240570903389234,5.540071099934497,6
1851,MARBOZ,46.34388952321138,5.243721130078247,1
1600,MASSIEUX,45.94616844650596,4.800923399231262,9
1960,PERONNAS,46.15334102052489,5.179345462716207,3
1540,PERREX,46.2216428541297,4.976992920867857,3
1280,PREVESSIN MOENS,46.258411593905,6.072260563851665,2
1710,THOIRY,46.24374536254225,5.9651267497518035,1
1440,VIRIAT,46.25071658846457,5.223166863301949,1
2300,ABBECOURT,49.58383826197659,3.179160819447205,32
2800,ACHERY,49.67054488461403,3.398654149007729,16
2200,ACY,49.35239385095898,3.32376797811685,26
2340,AGNICOURT ET SECHELLES,49.68749062671688,4.033393596227389,16
2190,AGUILCOURT,49.443058791584065,3.9831148583327,17
2110,AISONVILLE ET BERNOVILLE,49.97038141035251,3.450292531527536,23
2820,AIZELLES,49.50272445628216,3.822615498829304,11
2370,AIZY JOUY,49.41231583434366,3.517022306764543,9
2240,ALAINCOURT,49.77706096904437,3.428757362524401,17
2320,ALLEMANT,49.51354652617416,3.450306582188834,12
2290,AMBLENY,49.42463088501258,3.187370232387376,17
2700,AMIGNY ROUY,49.647367937809236,3.301594306293486,12
2600,ANCIENVILLE,49.278304356866435,3.141281963332938,27
2480,ANNOIS,49.742560881932036,3.158927409524574,10
2500,ANY MARTIN RIEUX,49.8890093967395,4.090150545971519,18
2360,ARCHON,49.75029781219989,4.14334274171163,18
2130,ARCY STE RESTITUE,49.19228131071276,3.558628864079534,23
2210,ARMENTIERES SUR OURCQ,49.213168516031544,3.356339560529049,28
2860,ARRANCY,49.48943042799712,3.6753818309451343,22
2270,ASSIS SUR SERRE,49.708833129072225,3.600704865191845,22
2840,ATHIES SOUS LAON,49.562131698839934,3.732746583409805,8
2490,ATTILLY,49.89532799049167,3.157717368687959,10
2420,AUBENCHEUL AUX BOIS,49.96575367517128,3.251488364440776,17
2590,AUBIGNY AUX KAISNES,49.81084691133261,3.130008364071386,12
2120,AUDIGNY,49.894203269825056,3.649742692104644,27
2220,AUGY,49.32170071180702,3.548342055853454,30
2000,AULNOIS SOUS LAON,49.53813928195309,3.5747024151679,26
2250,AUTREMENCOURT,49.74272040257885,3.791258676787059,18
2580,AUTREPPES,49.902272720108016,3.8874107890892993,3
2400,AZY SUR MARNE,49.06115095298374,3.389329772495359,23
2140,BANCIGNY,49.815120517425484,3.892044433224707,33
2170,BARZY EN THIERACHE,50.00437598456977,3.786608120317139,5
2850,BARZY SUR MARNE,49.081799814308376,3.559537669991706,7
2380,BASSOLES AULERS,49.51517258175638,3.343667141604874,11
2330,VALLEES EN CHAMPAGNE,48.99387989339509,3.556803227392395,13
2160,BEAURIEUX,49.38749484418732,3.717871190953337,38
2440,BENAY,49.73885730977161,3.283358084697976,7
2450,BERGUES SUR SAMBRE,50.00691110425841,3.697673775439594,8
2870,BESNY ET LOIZY,49.59959319772213,3.518367188588695,7
2310,BEZU LE GUERY,48.99172326639407,3.276177160162403,11
2350,BONCOURT,49.64123708229807,3.834654655192366,15
2880,BRAYE,49.42459741806866,3.388913880279402,18
2810,BRUMETZ,49.098665797254114,3.2128219933845372,12
2620,BUIRONFOSSE,49.958232090482795,3.838237167269887,1
2260,LA CAPELLE,49.9588858236996,3.9012054569817263,12
2680,CASTRES,49.80690346139214,3.240838367152862,5
2670,CHAMPS,49.54636503196761,3.2772335206507552,2
2570,LA CHAPELLE SUR CHEZY,48.9668367208162,3.390681489515538,3
2650,CREZANCY,49.050451977965245,3.5023953989795222,3
2470,DAMMARD,49.15669701050391,3.228263426707948,9
2540,L EPINE AUX BOIS,48.913830788596734,3.461374641733465,9
2690,ESSIGNY LE GRAND,49.78199166008329,3.294507152251515,2
2100,ESSIGNY LE PETIT,49.87073440573474,3.312052892112713,11
2510,ETREUX,49.97955810860833,3.642283384771564,4
2460,LA FERTE MILON,49.18673568350781,3.152509753774799,4
2520,FLAVY LE MARTEL,49.705677837930565,3.19453357166201,1
2760,FRANCILLY SELENCY,49.857628362853674,3.215406656295878,2
2230,FRESNOY LE GRAND,49.953802378343305,3.418825586167745,1
2430,GAUCHY,49.823181220714176,3.286163131362129,1
2720,HOMBLIERES,49.84684623584408,3.383384289985736,3
2150,LAPPION,49.57461097108181,3.9775213277851362,4
2630,MENNEVRET,49.98965305095751,3.573679778239809,3
2390,MONT D ORIGNY,49.84131883179609,3.495637368480282,4
2610,MOY DE L AISNE,49.750671453947206,3.351047848599619,1
2550,ORIGNY EN THIERACHE,49.88606761141008,4.011016815790691,1
2410,ST GOBAIN,49.58753097115746,3.406218327724739,3
2830,ST MICHEL,49.92139514906135,4.176804317427413,2
2640,ST SIMON,49.75812341128652,3.171529529954844,2
2790,SERAUCOURT LE GRAND,49.78035587087551,3.218511078199147,1
3200,ABREST,46.11078457287375,3.449905843644471,3
3210,AGONGES,46.51732122835393,3.16949651593808,12
3360,AINAY LE CHATEAU,46.66086262480814,2.68703248866048,9
3120,ANDELAROCHE,46.21738621190742,3.653606313949673,13
3380,ARCHIGNAT,46.35242760695272,2.446157768413231,7
3420,ARPHEUILLES ST PRIEST,46.194695563909264,2.613558780179639,9
3250,ARRONNES,46.03960259588213,3.691249274473226,11
3460,AUBIGNY,46.6627553674121,3.24756803303871,5
3190,AUDES,46.47400121671477,2.655104617009471,13
3000,AVERMES,46.570986897714896,3.284837280362206,6
3130,AVRILLY,46.347202387670045,3.843622646175764,14
3140,BARBERIER,46.23995508446305,3.161416693875366,15
3500,BAYET,46.32695129927372,3.267997179160014,15
3230,BEAULON,46.62573679313049,3.581603452681104,10
3390,BEAUNE D ALLIER,46.32756882796223,2.940620103282978,10
3800,BEGUES,46.11648184320134,3.205484067130903,12
3330,BELLENAVES,46.20480944027948,3.031047785150313,7
3700,BELLERIVE SUR ALLIER,46.097692780188744,3.371950300733893,3
3340,BESSAY SUR ALLIER,46.44764196289415,3.437371268180921,8
3170,BEZENET,46.351019887222314,2.766563818574453,7
3260,BILLY,46.21935783888727,3.453378816023221,6
3300,BOST,46.14794283396001,3.509523399778619,7
3150,BOUCE,46.297622998124254,3.455272045495424,10
3160,BOURBON L ARCHAMBAULT,46.6113519000421,3.029528998346435,7
3350,LE BRETHON,46.57879797499241,2.807189858268361,5
3110,BROUT VERNET,46.16443337249759,3.327604147753097,9
3270,BUSSET,46.0563311494161,3.477142584771648,4
3440,BUXIERES LES MINES,46.459744628771425,2.974078499811566,3
3600,LA CELLE,46.2755644178085,2.7967303856678303,6
3370,CHAMBERAT,46.45538339874344,2.3983587940717532,9
3510,CHASSENARD,46.45295584899349,3.94955598411588,2
3320,CHATEAU SUR ALLIER,46.72380049917717,2.983562828167862,7
3220,CHATELPERRON,46.37487408850302,3.5978587237654462,12
3450,CHOUVIGNY,46.14732649167818,3.03729526248965,7
3430,COSNE D ALLIER,46.4426160355689,2.843347956151458,6
3470,COULANGES,46.469382300733315,3.812359309278749,4
3240,CRESSANGES,46.406808368296204,3.085666376758187,8
3630,DESERTINES,46.35703580645958,2.62748586661811,1
3290,DIOU,46.51195913565859,3.687423151267646,3
3410,DOMERAT,46.32233919251634,2.55685733491489,5
3310,DURDAT LAREQUILLE,46.27369243154569,2.652270370268396,4
3400,GENNETINES,46.59643198749373,3.391627037010201,4
3100,LAVAULT STE ANNE,46.32411427924051,2.6024184313850323,2
42620,ST PIERRE LAVAL,46.202447905917474,3.794105592588682,2
4510,AIGLUN,44.040567537736024,6.111503356396483,6
