code,nom,typeLiaison,zone,arrondissement,departement,region,type,rangChefLieu,siren,codesPostaux,population,longitude,latitude,slug,anciensCodes,chefLieu,commune
01001,L'Abergement-Clémenciat,5.0,metro,012,01,84,commune-actuelle,0.0,210100012.0,['01400'],859.0,4.925852382365117,46.15373399404384,l-abergement-clemenciat,,,
01002,L'Abergement-de-Varey,5.0,metro,011,01,84,commune-actuelle,0.0,210100020.0,['01640'],273.0,5.427989323031988,46.009626579062584,l-abergement-de-varey,,,
01004,Ambérieu-en-Bugey,1.0,metro,011,01,84,commune-actuelle,0.0,210100046.0,['01500'],15554.0,5.37219516312877,45.96113817420035,amberieu-en-bugey,,,
01005,Ambérieux-en-Dombes,1.0,metro,012,01,84,commune-actuelle,0.0,210100053.0,['01330'],1917.0,4.9119895837093095,45.99617942254461,amberieux-en-dombes,,,
01006,Ambléon,1.0,metro,011,01,84,commune-actuelle,0.0,210100061.0,['01300'],114.0,5.594516629093591,45.74989111935944,ambleon,,,
01007,Ambronay,1.0,metro,011,01,84,commune-actuelle,0.0,210100079.0,['01500'],2828.0,5.3576801562498,46.00576579033324,ambronay,,,
01008,Ambutrix,1.0,metro,011,01,84,commune-actuelle,0.0,210100087.0,['01500'],764.0,5.3323495373850704,45.93673127005767,ambutrix,,,
01009,Andert-et-Condon,1.0,metro,011,01,84,commune-actuelle,0.0,210100095.0,['01300'],335.0,5.6578127389665385,45.7871752439142,andert-et-condon,,,
01010,Anglefort,1.0,metro,011,01,84,commune-actuelle,0.0,210100103.0,['01350'],1150.0,5.7948700710307515,45.9090997829867,anglefort,,,
01011,Apremont,1.0,metro,014,01,84,commune-actuelle,0.0,210100111.0,['01100'],399.0,5.658005341033998,46.20570579263705,apremont,,,
01012,Aranc,1.0,metro,011,01,84,commune-actuelle,0.0,210100129.0,['01110'],329.0,5.511119362965667,46.001298891383335,aranc,,,
01013,Arandas,1.0,metro,011,01,84,commune-actuelle,0.0,210100137.0,['01230'],140.0,5.499065638638865,45.89020152245715,arandas,,,
01014,Arbent,1.0,metro,014,01,84,commune-actuelle,0.0,210100145.0,['01100'],3482.0,5.690728063943781,46.28363454840426,arbent,,,
01015,Arboys en Bugey,1.0,metro,011,01,84,commune-actuelle,0.0,200053668.0,['01300'],688.0,5.6416932571826175,45.712764877820305,arboys-en-bugey,['01340'],,
01015,Arbignieu,1.0,metro,011,01,84,commune-deleguee,,,,,5.6416932571826175,45.712764877820305,arbignieu,,1015.0,
01016,Arbigny,1.0,metro,012,01,84,commune-actuelle,0.0,210100160.0,['01190'],459.0,4.959989779936504,46.4776164957043,arbigny,,,
01017,Argis,1.0,metro,011,01,84,commune-actuelle,0.0,210100178.0,['01230'],420.0,5.482540890631733,45.93344807088681,argis,,,
01019,Armix,1.0,metro,011,01,84,commune-actuelle,0.0,210100194.0,['01510'],25.0,5.582709173085881,45.85428802791039,armix,,,
01021,Ars-sur-Formans,1.0,metro,012,01,84,commune-actuelle,0.0,210100210.0,['01480'],1513.0,4.821967009476901,45.9935751506906,ars-sur-formans,,,
01022,Artemare,1.0,metro,011,01,84,commune-actuelle,0.0,210100228.0,['01510'],1141.0,5.6901017827272025,45.869652369607536,artemare,,,
01023,Asnières-sur-Saône,1.0,metro,012,01,84,commune-actuelle,0.0,210100236.0,['01570'],77.0,4.8836728555958615,46.38522041430608,asnieres-sur-saone,,,
01024,Attignat,1.0,metro,012,01,84,commune-actuelle,0.0,210100244.0,['01340'],3372.0,5.179853092476996,46.28608483946,attignat,,,
01025,Bâgé-Dommartin,0.0,metro,012,01,84,commune-actuelle,0.0,200077220.0,['01380'],4057.0,4.966949170647152,46.32746905613092,bage-dommartin,['01144'],,
01025,Bâgé-la-Ville,0.0,metro,012,01,84,commune-deleguee,,,,,4.966949170647152,46.32746905613092,bage-la-ville,,1025.0,
01026,Bâgé-le-Châtel,0.0,metro,012,01,84,commune-actuelle,0.0,210100269.0,['01380'],987.0,4.929855873602328,46.30829067479417,bage-le-chatel,,,
01027,Balan,0.0,metro,012,01,84,commune-actuelle,0.0,210100277.0,['01360'],2878.0,5.107982539255015,45.830951834753925,balan,,,
01028,Baneins,0.0,metro,012,01,84,commune-actuelle,0.0,210100285.0,['01990'],618.0,4.901726313288751,46.11409537845095,baneins,,,
01029,Beaupont,0.0,metro,012,01,84,commune-actuelle,0.0,210100293.0,['01270'],717.0,5.260321643085722,46.42863122740524,beaupont,,,
01030,Beauregard,0.0,metro,012,01,84,commune-actuelle,0.0,210100301.0,['01480'],826.0,4.756797923362823,46.000781518974385,beauregard,,,
01031,Bellignat,0.0,metro,014,01,84,commune-actuelle,0.0,210100319.0,['01100'],3581.0,5.6362084388303755,46.23806702524872,bellignat,,,
01032,Béligneux,0.0,metro,012,01,84,commune-actuelle,0.0,210100327.0,['01360'],3484.0,5.14035197218255,45.859308733254466,beligneux,,,
01033,Valserhône,0.0,metro,014,01,84,commune-actuelle,0.0,200083863.0,['01200'],16162.0,5.796528846986756,46.12410033301756,valserhone,"['01126', '01018', '01458', '01278', '01205', '01091']",,
01033,Bellegarde-sur-Valserine,0.0,metro,014,01,84,commune-deleguee,,,,,5.796528846986756,46.12410033301756,bellegarde-sur-valserine,,1033.0,
01034,Belley,0.0,metro,011,01,84,commune-actuelle,0.0,210100343.0,['01300'],9270.0,5.683850011864129,45.7498810229887,belley,,,
01035,Belleydoux,0.0,metro,014,01,84,commune-actuelle,0.0,210100350.0,['01130'],306.0,5.785129375575259,46.253330229790215,belleydoux,,,
01036,Valromey-sur-Séran,0.0,metro,011,01,84,commune-actuelle,0.0,200086411.0,['01260'],1350.0,5.656802254110262,45.918138328470434,valromey-sur-seran,"['01161', '01086', '01226', '01442', '01414', '01221']",,
01036,Belmont-Luthézieu,0.0,metro,011,01,84,commune-deleguee,,,,,5.656802254110262,45.918138328470434,belmont-luthezieu,,1036.0,
01037,Bénonces,0.0,metro,011,01,84,commune-actuelle,0.0,210100376.0,['01470'],311.0,5.482859803918886,45.83820376218095,benonces,,,
01038,Bény,0.0,metro,012,01,84,commune-actuelle,0.0,210100384.0,['01370'],769.0,5.282509238167681,46.319398326188306,beny,,,
01039,Béon,0.0,metro,011,01,84,commune-deleguee,,,,,5.752222930175576,45.85655886432677,beon,,1138.0,
01040,Béréziat,0.0,metro,012,01,84,commune-actuelle,0.0,210100400.0,['01340'],481.0,5.039968383010435,46.36766820404463,bereziat,,,
01041,Bettant,0.0,metro,011,01,84,commune-actuelle,0.0,210100418.0,['01500'],762.0,5.366099543531548,45.93769540517208,bettant,,,
01042,Bey,0.0,metro,012,01,84,commune-actuelle,0.0,210100426.0,['01290'],290.0,4.846272641662303,46.219562310769035,bey,,,
01043,Beynost,0.0,metro,012,01,84,commune-actuelle,0.0,210100434.0,['01700'],4936.0,4.9974187583723255,45.83950224265395,beynost,,,
01044,Billiat,0.0,metro,014,01,84,commune-actuelle,0.0,210100442.0,['01200'],669.0,5.765877257309971,46.07916988634144,billiat,,,
01045,Birieux,0.0,metro,012,01,84,commune-actuelle,0.0,210100459.0,['01330'],280.0,5.037299484605287,45.95314685348301,birieux,,,
01046,Biziat,0.0,metro,012,01,84,commune-actuelle,0.0,210100467.0,['01290'],897.0,4.941088534605697,46.22635545755053,biziat,,,
01047,Blyes,0.0,metro,011,01,84,commune-actuelle,0.0,210100475.0,['01150'],1351.0,5.251543772631972,45.84710488154972,blyes,,,
01049,La Boisse,3.0,metro,012,01,84,commune-actuelle,0.0,210100491.0,['01120'],3401.0,5.028341786556276,45.84463407594636,la-boisse,,,
01050,Boissey,0.0,metro,012,01,84,commune-actuelle,0.0,210100509.0,"['01190', '01380']",390.0,4.998861012119287,46.37302074710169,boissey,,,
01051,Bolozon,0.0,metro,014,01,84,commune-actuelle,0.0,210100517.0,['01450'],99.0,5.470278646851792,46.196143752868444,bolozon,,,
01052,Bouligneux,0.0,metro,012,01,84,commune-actuelle,0.0,210100525.0,['01330'],323.0,4.992371374716522,46.0230501490644,bouligneux,,,
01053,Bourg-en-Bresse,0.0,metro,012,01,84,commune-actuelle,0.0,210100533.0,['01000'],42065.0,5.24547271037417,46.20492449023134,bourg-en-bresse,,,
01054,Bourg-Saint-Christophe,0.0,metro,011,01,84,commune-actuelle,0.0,210100541.0,['01800'],1540.0,5.143577716822716,45.886252723809385,bourg-saint-christophe,,,
01056,Boyeux-Saint-Jérôme,0.0,metro,014,01,84,commune-actuelle,0.0,210100566.0,['01640'],362.0,5.463198396042595,46.03595607211236,boyeux-saint-jerome,,,
01057,Boz,0.0,metro,012,01,84,commune-actuelle,0.0,210100574.0,['01190'],509.0,4.91373758655292,46.40551723785462,boz,,,
01058,Brégnier-Cordon,0.0,metro,011,01,84,commune-actuelle,0.0,210100582.0,['01300'],812.0,5.61668702418091,45.64134260276683,bregnier-cordon,,,
01059,Brénaz,0.0,metro,011,01,84,commune-deleguee,,,,,,,brenaz,,1453.0,
01060,Brénod,0.0,metro,014,01,84,commune-actuelle,0.0,210100608.0,['01110'],547.0,5.614420679648691,46.07552843222103,brenod,,,
01061,Brens,0.0,metro,011,01,84,commune-actuelle,0.0,210100616.0,['01300'],1117.0,5.689236175786327,45.71403761336936,brens,,,
01062,Bressolles,0.0,metro,012,01,84,commune-actuelle,0.0,210100624.0,['01360'],1003.0,5.101497815107204,45.86941894067992,bressolles,,,
01063,Brion,0.0,metro,014,01,84,commune-actuelle,0.0,210100632.0,['01460'],591.0,5.54666295002183,46.168157061205086,brion,,,
01064,Briord,0.0,metro,011,01,84,commune-actuelle,0.0,210100640.0,['01470'],1102.0,5.485270136956409,45.770627031750784,briord,,,
01065,Buellas,0.0,metro,012,01,84,commune-actuelle,0.0,210100657.0,['01310'],1884.0,5.145215394486014,46.210635721226495,buellas,,,
01066,La Burbanche,3.0,metro,011,01,84,commune-actuelle,0.0,210100665.0,['01510'],97.0,5.545859397489827,45.85973924300455,la-burbanche,,,
01067,Ceignes,0.0,metro,014,01,84,commune-actuelle,0.0,210100673.0,['01430'],263.0,5.495075735901952,46.12590340415153,ceignes,,,
01068,Cerdon,0.0,metro,014,01,84,commune-actuelle,0.0,210100681.0,['01450'],755.0,5.476067066532782,46.07191662739411,cerdon,,,
01069,Certines,0.0,metro,012,01,84,commune-actuelle,0.0,210100699.0,['01240'],1518.0,5.26251192725293,46.133504317904595,certines,,,
01071,Cessy,0.0,metro,013,01,84,commune-actuelle,0.0,210100715.0,['01170'],5570.0,6.078021959945782,46.3161861310446,cessy,,,
01072,Ceyzériat,0.0,metro,012,01,84,commune-actuelle,0.0,210100723.0,['01250'],3306.0,5.31952768091652,46.18338333235584,ceyzeriat,,,
01073,Ceyzérieu,0.0,metro,011,01,84,commune-actuelle,0.0,210100731.0,['01350'],1028.0,5.718951967801476,45.83360326651506,ceyzerieu,,,
01074,Chalamont,0.0,metro,012,01,84,commune-actuelle,0.0,210100749.0,['01320'],2544.0,5.169447441982541,46.00750951884132,chalamont,,,
01075,Chaleins,0.0,metro,012,01,84,commune-actuelle,0.0,210100756.0,['01480'],1436.0,4.798646758884317,46.033900739415195,chaleins,,,
01076,Chaley,0.0,metro,011,01,84,commune-actuelle,0.0,210100764.0,['01230'],127.0,5.536909398949749,45.9544304473937,chaley,,,
01077,Challes-la-Montagne,0.0,metro,014,01,84,commune-actuelle,0.0,210100772.0,['01450'],185.0,5.457523705857014,46.122449553602586,challes-la-montagne,,,
01078,Challex,0.0,metro,013,01,84,commune-actuelle,0.0,210100780.0,['01630'],1628.0,5.971523655018253,46.176936448741834,challex,,,
01079,Champagne-en-Valromey,0.0,metro,011,01,84,commune-actuelle,0.0,210100798.0,['01260'],826.0,5.6930835821659285,45.93195461760866,champagne-en-valromey,"['01287', '01217']",,
