code,chefLieu,nom,typeLiaison,zone,latitude,longitude,slug,name_fr,departement_count,label_lat,label_lng,label_source,area_km2,bbox_min_lng,bbox_min_lat,bbox_max_lng,bbox_max_lat
1,97105,Guadeloupe,3,drom,16.00019013108165,-61.72845047449802,guadeloupe,Guadeloupe,1,16.113146,-61.665093,polylabel,1663.025,-61.797841,15.846991,-60.989247,16.513088
2,97209,Martinique,3,drom,14.64057888275025,-61.06895413174872,martinique,Martinique,1,14.727641,-61.072742,polylabel,1101.442,-61.228831,14.408108,-60.810414,14.876899
3,97302,Guyane,3,drom,4.93398049674308,-52.316744466324465,guyane,Guyane,1,3.955168,-53.021364,polylabel,83551.735,-54.615292,2.110673,-51.649037,5.744765
4,97411,La Réunion,0,drom,-20.932922387443433,55.44696968693101,la-reunion,La Réunion,1,-21.094216,55.517917,polylabel,2589.51,55.225434,-21.370782,55.854503,-20.861423
6,97611,Mayotte,0,drom,-12.790322075934364,45.19484670241379,mayotte,Mayotte,1,-12.775376,45.147973,polylabel,396.412,45.042491,-12.98919,45.290863,-12.647231
11,75056,Île-de-France,1,metro,48.85662219553845,2.342876430194027,ile-de-france,Île-de-France,8,48.633925,2.6965,polylabel,12068.254,1.443457,48.121661,3.537802,49.230664
24,45234,Centre-Val de Loire,2,metro,47.88225457428035,1.9166060865850492,centre-val-de-loire,Centre-Val de Loire,6,47.394978,1.621443,polylabel,39242.698,0.06676,46.350939,3.117927,48.939549
27,21231,Bourgogne-Franche-Comté,0,metro,47.32285164788028,5.037525259179914,bourgogne-franche-comte,Bourgogne-Franche-Comté,8,47.13753,4.404777,polylabel,47866.0,2.830876,46.171752,7.151492,48.411744
28,76540,Normandie,0,metro,49.44149359409315,1.093483744737534,normandie,Normandie,5,49.375454,1.019757,polylabel,30036.027,-1.945627,48.180833,1.78344,50.06572
32,59350,Hauts-de-France,4,metro,50.63184422624786,3.047001403367827,hauts-de-france,Hauts-de-France,5,49.89613,2.763595,polylabel,31879.211,1.373069,48.846945,4.250222,51.087541
44,67482,Grand Est,2,metro,48.571237835890315,7.76774302583265,grand-est,Grand Est,10,48.894933,4.789897,polylabel,57201.576,3.389487,47.416797,8.200305,50.161332
52,44109,Pays de la Loire,4,metro,47.232007806068935,-1.548182418851069,pays-de-la-loire,Pays de la Loire,5,47.755614,-0.420206,polylabel,32042.184,-2.556386,46.27912,0.912883,48.561278
53,35238,Bretagne,0,metro,48.11167721645947,-1.681854675069338,bretagne,Bretagne,4,48.068695,-2.397181,polylabel,27258.057,-5.132802,47.296617,-1.039333,48.876654
75,33063,Nouvelle-Aquitaine,3,metro,44.85753607622351,-0.573444148760974,nouvelle-aquitaine,Nouvelle-Aquitaine,12,45.541888,0.466437,polylabel,84797.345,-1.797172,42.772636,2.597746,47.160588
76,31555,Occitanie,1,metro,43.596012824333386,1.432101611424765,occitanie,Occitanie,13,43.567178,2.164648,polylabel,73351.067,-0.317059,42.325661,4.849812,45.045049
84,69123,Auvergne-Rhône-Alpes,1,metro,45.75493040864208,4.83634986919838,auvergne-rhone-alpes,Auvergne-Rhône-Alpes,12,45.244879,4.921898,polylabel,70756.487,2.058713,44.12178,7.160679,46.793216
93,13055,Provence-Alpes-Côte d'Azur,0,metro,43.29239976270309,5.419087615426763,provence-alpes-cote-d-azur,Provence-Alpes-Côte d'Azur,6,43.954335,6.324986,polylabel,31283.292,4.205903,42.987128,7.691912,45.124788
94,2A004,Corse,0,metro,41.93471503964258,8.700715575393874,corse,Corse,2,42.248492,9.110862,polylabel,8652.83,8.545258,41.365912,9.559581,43.017401
