adm1_code,iso_3166_2,iso_3166_2_is_official,country_code,country_name,name,name_en,name_fr,name_es,name_local,type,child_count,admin_level,label_lat,label_lng,label_source,area_km2,bbox_min_lng,bbox_min_lat,bbox_max_lng,bbox_max_lat,labelrank,wikidata_id,geonames_id,slug
AND-4876,AD-07,True,AD,Andorra,Andorra la Vella,Andorra la Vella,Andorre-la-Vieille,Andorra la Vella,,,0,1,42.5128,1.51066,natural-earth,14.473,1.487191,42.489032,1.556351,42.538114,20,Q2522163,3041566,andorra-la-vella
AND-4879,AD-02,True,AD,Andorra,Canillo,Canillo,Canillo,Canillo,,,0,1,42.5842,1.60543,natural-earth,74.071,1.555607,42.53989,1.765091,42.621921,20,Q24260,3041203,canillo
AND-4880,AD-03,True,AD,Andorra,Encamp,Encamp,Encamp,Encamp,,,0,1,42.5381,1.6441,natural-earth,71.336,1.555607,42.490508,1.717091,42.574553,20,Q24269,3040684,encamp
AND-4881,AD-08,True,AD,Andorra,Escaldes-Engordany,Escaldes-Engordany,Escaldes-Engordany,Escaldes-Engordany,,,0,1,42.495,1.59428,natural-earth,66.114,1.499089,42.453075,1.656984,42.538857,20,Q24286,3338529,escaldes-engordany
AND-4877,AD-04,True,AD,Andorra,La Massana,La Massana,La Massana,La Massana,,,0,1,42.55,1.47083,natural-earth,72.378,1.406456,42.504073,1.556351,42.602052,20,Q24276,3040131,la-massana
AND-4878,AD-05,True,AD,Andorra,Ordino,Ordino,Ordino,Ordino,,,0,1,42.6036,1.52437,natural-earth,76.327,1.451415,42.562654,1.598739,42.649362,20,Q24272,3039676,ordino
AND-4882,AD-06,True,AD,Andorra,Sant Julià de Lòria,Sant Julià de Lòria,Sant Julià de Lòria,San Julián de Loria,,,0,1,42.4511,1.47975,natural-earth,76.796,1.407593,42.428677,1.574942,42.518035,20,Q24282,3039162,sant-julia-de-loria
ARE-349,AE-AZ,True,AE,United Arab Emirates,Abu Dhabi,Emirate of Abu Dhabi,Abou Dabi,Abu Dabi,,Emirate,0,1,23.5238,54.0817,natural-earth,59492.515,51.569347,22.620946,55.997853,25.249416,6,Q187712,292969,abu-dhabi
ARE-346,AE-AJ,True,AE,United Arab Emirates,Ajman,Emirate of Ajman,Ajman,Ajman,,Emirate,0,1,25.3971,55.5411,natural-earth,150.567,55.424496,25.282049,56.007,25.460159,9,Q159477,292933,ajman
ARE-350,AE-DU,True,AE,United Arab Emirates,Dubay,Emirate of Dubai,Dubaï,Dubái,,Emirate,0,1,24.9508,55.3436,natural-earth,3878.506,55.005859,24.595088,56.171366,25.307088,7,Q613,292224,dubay
ARE-341,AE-FU,True,AE,United Arab Emirates,Fujayrah,Emirate of Fujairah,Fujaïrah,Fuyaira,,Emirate,0,1,25.4752,56.2221,natural-earth,1708.829,55.965711,24.871949,56.383637,25.657961,9,Q4091,292879,fujayrah
ARE-344,AE-X01,False,AE,United Arab Emirates,Neutral Zone,Fujairah,Zone neutre,Zona neutral,,Emirate,0,1,24.925,56.2932,natural-earth,13.3,56.270498,24.908506,56.316053,24.951449,9,,,neutral-zone
ARE-347,AE-X02,False,AE,United Arab Emirates,Neutral Zone,Sayh Mudayrah,Zone neutre,Zona neutral,,Emirate,0,1,24.8164,56.0315,natural-earth,124.47,55.957649,24.729972,56.105702,24.886105,9,,,neutral-zone
ARE-338,AE-RK,True,AE,United Arab Emirates,Ras Al Khaymah,Emirate of Ras Al Khaimah,Ras el Khaïmah,Ras al-Jaima,,Emirate,0,1,25.6964,55.9791,natural-earth,2572.577,55.745984,24.820372,56.274683,26.074792,9,Q170024,291075,ras-al-khaymah
ARE-348,AE-SH,True,AE,United Arab Emirates,Sharjah,Emirate of Sharjah,Charjah,Sharjah,,Emirate,0,1,25.172,55.7788,natural-earth,2588.994,55.32482,24.690845,56.383311,25.513254,7,Q188810,292673,sharjah
ARE-339,AE-UQ,True,AE,United Arab Emirates,Umm Al Qaywayn,Emirate of Umm Al Quwain,Oumm al Qaïwaïn,Umm al-Qaywayn,,Emirate,0,1,25.5218,55.7217,natural-earth,752.063,55.515163,25.277036,55.928142,25.662297,9,Q175021,290595,umm-al-qaywayn
AFG-1760,AF-BDS,True,AF,Afghanistan,Badakhshan,Badakhshan,Badakhchan,Badajshán,,Province,0,1,36.781,70.8036,natural-earth,43659.838,69.998549,35.442411,74.892307,38.473673,5,Q165376,1147745,badakhshan
AFG-1741,AF-BDG,True,AF,Afghanistan,Badghis,Badghis,Bâdghîs,Bādgīs,,Province,0,1,35.2699,63.8495,natural-earth,20596.973,62.651763,34.509367,65.047327,36.031732,5,Q172052,1147707,badghis
AFG-1766,AF-BGL,True,AF,Afghanistan,Baghlan,Baghlan,Baghlân,Baghlan,,Province,0,1,35.8588,68.9831,natural-earth,17857.82,68.005234,35.006701,69.961032,36.571205,7,Q170309,1147537,baghlan
AFG-1744,AF-BAL,True,AF,Afghanistan,Balkh,Balkh,Balkh,Balj,,Province,0,1,36.6851,67.2185,natural-earth,16017.757,66.247874,35.667255,68.189099,37.385213,5,Q121104,1147288,balkh
AFG-1743,AF-BAM,True,AF,Afghanistan,Bamyan,Bamyan,Bâmiyân,Bamiyán,,Province,0,1,34.9693,67.2365,natural-earth,17730.083,66.330608,33.937929,68.282685,35.469618,9,Q171382,1147239,bamyan
AFG-1749,AF-FRA,True,AF,Afghanistan,Farah,Farah,Farâh,Farāh,,Province,0,1,32.5314,62.6498,natural-earth,49423.892,60.561502,31.388741,64.738405,33.516688,7,Q180330,1142263,farah
AFG-1745,AF-FYB,True,AF,Afghanistan,Faryab,Faryab,Fâryâb,Fāryāb,,Province,0,1,35.8043,64.7678,natural-earth,20725.544,63.887398,35.187,65.816686,37.241997,5,Q173830,1142226,faryab
AFG-1757,AF-GHA,True,AF,Afghanistan,Ghazni,Ghazni,Ghazni,Gazni,,Province,0,1,33.4079,67.8006,natural-earth,22063.19,66.829182,32.071841,68.800173,34.209333,7,Q180415,1141268,ghazni
AFG-1747,AF-GHO,True,AF,Afghanistan,Ghor,Ghōr,Ghôr,Ġawr,,Province,0,1,34.002,64.9224,natural-earth,36127.981,63.070755,33.122578,66.774095,35.269734,5,Q186392,1141103,ghor
AFG-1750,AF-HEL,True,AF,Afghanistan,Hilmand,Helmand,Helmand,Helmand,,Province,0,1,30.9278,63.9824,natural-earth,57352.474,62.602581,29.386605,65.362192,33.365897,5,Q173821,1140043,hilmand
AFG-1742,AF-HER,True,AF,Afghanistan,Hirat,Herat,Hérât,Herāt,,Province,0,1,34.1551,62.4845,natural-earth,55445.003,60.486778,32.782056,64.482504,35.630901,7,Q182844,1140025,hirat
AFG-1746,AF-JOW,True,AF,Afghanistan,Jawzjan,Jowzjan,Djôzdjân,Jawzjān,,Province,0,1,36.8971,65.9617,natural-earth,11264.345,65.101794,35.90954,66.56894,37.578379,5,Q183036,1139049,jawzjan
AFG-1767,AF-KAB,True,AF,Afghanistan,Kabul,Kabul,Kaboul,Kabul,,Province,0,1,34.4949,69.3846,natural-earth,4420.318,68.840067,34.143136,69.929045,34.89539,7,Q188933,1138957,kabul
AFG-1754,AF-KAN,True,AF,Afghanistan,Kandahar,Kandahar,Kandahâr,Kandahar,,Province,0,1,31.135,65.7163,natural-earth,53531.911,64.499477,29.540162,67.775067,32.575221,6,Q173808,1138335,kandahar
AFG-1768,AF-KAP,True,AF,Afghanistan,Kapisa,Kapisa,Kâpîssâ,Kāpīsā,,Province,0,1,34.9748,69.6626,natural-earth,1860.457,69.278387,34.639281,69.916177,35.181884,5,Q173816,1138255,kapisa
AFG-1758,AF-KHO,True,AF,Afghanistan,Khost,Khost,Khôst,Jost,,Province,0,1,33.363,69.8211,natural-earth,4035.402,69.340812,33.01135,70.301579,33.742091,5,Q185752,1444362,khost
AFG-1762,AF-KNR,True,AF,Afghanistan,Kunar,Kunar,Kounar,Kunar,,Province,0,1,34.9013,71.1061,natural-earth,4657.652,70.574432,34.531045,71.637932,35.464194,5,Q188147,1135702,kunar
AFG-1763,AF-KDZ,True,AF,Afghanistan,Kunduz,Kunduz,Kondôz,Qundūz,,Province,0,1,36.9043,68.682,natural-earth,8002.188,68.024613,36.296958,69.339365,37.338135,5,Q186418,1135690,kunduz
AFG-1770,AF-LAG,True,AF,Afghanistan,Laghman,Laghman,Laghmân,Laġmān,,Province,0,1,34.7273,70.2085,natural-earth,3894.631,69.796856,34.402758,70.620165,35.235782,5,Q185442,1135022,laghman
AFG-1771,AF-LOG,True,AF,Afghanistan,Logar,Logar,Lôgar,Lawgar,,Province,0,1,34.0857,69.3047,natural-earth,4459.294,68.711858,33.60242,69.897574,34.364078,5,Q6667298,1134561,logar
AFG-1764,AF-NAN,True,AF,Afghanistan,Nangarhar,Nangarhar,Nangarhâr,Nangarhar,,Province,0,1,34.2153,70.3027,natural-earth,7340.093,69.479201,33.938705,71.126387,34.800202,5,Q178471,1132366,nangarhar
AFG-1751,AF-NIM,True,AF,Afghanistan,Nimroz,Nimruz,Nimrôz,Nimruz,,Province,0,1,30.7528,62.2069,natural-earth,42130.475,60.844379,29.407819,63.56964,32.253148,5,Q183021,1131821,nimroz
AFG-1761,AF-NUR,True,AF,Afghanistan,Nuristan,Nuristan,Nourestân,Nūristān,,Province,0,1,35.2898,70.7567,natural-earth,8879.768,69.919898,34.903684,71.59349,36.030802,5,Q167485,1444363,nuristan
AFG-1759,AF-PIA,True,AF,Afghanistan,Paktika,Paktika,Paktîkâ,Paktīkā,,Province,0,1,32.5106,68.651,natural-earth,18831.486,67.815117,31.602568,69.48721,33.419511,5,Q185575,1131256,paktika
AFG-3413,AF-PKA,True,AF,Afghanistan,Paktya,Paktia,Paktiyâ,Paktiyā,,Province,0,1,33.575,69.3826,natural-earth,5411.286,68.768805,33.153145,69.996478,34.078489,5,Q182493,1131257,paktya
AFG-1769,AF-PAR,True,AF,Afghanistan,Parwan,Parwan,Parwân,Parwān,,Province,0,1,35.3368,69.7587,natural-earth,3688.29,69.244125,35.080856,70.273365,35.892254,5,Q188157,6957555,parwan
AFG-1772,AF-PAR,True,AF,Afghanistan,Parwan,Parwan,Parwân,Parwān,,Province,0,1,34.9984,68.8995,natural-earth,5612.155,68.183983,34.588303,69.61511,35.420112,5,Q188157,1131054,parwan
AFG-1773,AF-SAM,True,AF,Afghanistan,Samangan,Samangan,Samangân,Samangān,,Province,0,1,36.0506,67.683,natural-earth,13205.6,66.834608,35.352468,68.531404,36.647944,5,Q183015,1127766,samangan
AFG-1748,AF-SAR,True,AF,Afghanistan,Sari Pul,Sar-e Pol,Sar-é Pol,Sar-e Pul,,Province,0,1,35.7062,66.2158,natural-earth,16126.981,65.4056,34.784363,67.026069,36.58769,5,Q182487,1127106,sari-pul
AFG-1765,AF-TAK,True,AF,Afghanistan,Takhar,Takhar,Takhâr,Tahār,,Province,0,1,36.8335,69.8124,natural-earth,12210.655,69.147129,35.791407,70.47759,37.61817,5,Q186395,1123230,takhar
AFG-1752,AF-URU,True,AF,Afghanistan,Uruzgan,Urozgan,Orozgân,Urūzgān,,Province,0,1,32.807,66.0947,natural-earth,11305.442,65.17781,32.274051,67.011497,33.319646,5,Q183028,1131461,uruzgan
AFG-1753,AF-URU,True,AF,Afghanistan,Uruzgan,Urozgan,Orozgân,Urūzgān,,Province,0,1,33.8446,66.3011,natural-earth,17222.603,65.2191,33.06023,67.383154,34.406944,5,Q183028,6957553,uruzgan
AFG-1774,AF-WAR,True,AF,Afghanistan,Wardak,Maidan Wardak,Wardak,Vardak,,Province,0,1,34.4269,68.1087,natural-earth,10159.959,67.248278,33.676394,68.969155,34.800305,5,Q183056,1121863,wardak
AFG-1755,AF-ZAB,True,AF,Afghanistan,Zabul,Zabul,Zabol,Zābul,,Province,0,1,32.4033,67.1401,natural-earth,17140.968,66.18209,31.544328,68.09834,33.065166,5,Q139126,1121143,zabul
ATG-5091,AG-10,True,AG,Antigua and Barbuda,Barbuda,Barbuda,Barbuda,Barbuda,,Dependency,0,1,17.6155,-61.792,natural-earth,170.091,-61.87385,17.545559,-61.727773,17.727688,20,Q238752,3576390,barbuda
ATG-5092,AG-11,True,AG,Antigua and Barbuda,Redonda,Redonda,Redonda,Isla Redonda,,Dependency,0,1,16.9335,-62.3467,natural-earth,0.37,-62.34826,16.93197,-62.342918,16.940897,20,Q457261,3576037,redonda
ATG-5093,AG-03,True,AG,Antigua and Barbuda,Saint George,Saint George,Saint-George,Parroquia de Saint George,,Parish,0,1,17.1084,-61.7804,natural-earth,27.965,-61.805843,17.071428,-61.755841,17.164944,20,Q1770796,3576024,saint-george
ATG-5098,AG-04,True,AG,Antigua and Barbuda,Saint John,Saint John,Saint-John,Parroquia de Saint John,,Parish,0,1,17.1101,-61.8237,natural-earth,76.014,-61.894154,17.042856,-61.774209,17.168769,20,Q548816,3576023,saint-john
ATG-5097,AG-05,True,AG,Antigua and Barbuda,Saint Mary,Saint Mary,Saint-Mary,Parroquia de Saint Mary,,Parish,0,1,17.0368,-61.857,natural-earth,58.186,-61.89037,17.004828,-61.804067,17.094898,20,Q1999872,3576018,saint-mary
